    31/50000: episode: 1, duration: 1.430s, episode steps: 31, steps per second: 22, episode reward: 31.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.419 [0.000, 1.000], mean observation: 0.013 [-1.185, 1.776], loss: 0.462173, mean_absolute_error: 0.520752, mean_q: 0.096439
 14189/50000: episode: 98, duration: 1.639s, episode steps: 293, steps per second: 179, episode reward: 293.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.515 [0.000, 1.000], mean observation: 0.244 [-0.974, 2.423], loss: 2.518201, mean_absolute_error: 44.481556, mean_q: 89.728439
 14420/50000: episode: 99, duration: 1.302s, episode steps: 231, steps per second: 177, episode reward: 231.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.519 [0.000, 1.000], mean observation: 0.296 [-0.827, 2.412], loss: 2.444267, mean_absolute_error: 45.227093, mean_q: 91.300186
 14666/50000: episode: 100, duration: 1.389s, episode steps: 246, steps per second: 177, episode reward: 246.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.484 [0.000, 1.000], mean observation: -0.290 [-2.423, 0.597], loss: 3.328535, mean_absolute_error: 44.990242, mean_q: 90.761589
 14904/50000: episode: 101, duration: 1.359s, episode steps: 238, steps per second: 175, episode reward: 238.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.479 [0.000, 1.000], mean observation: -0.297 [-2.423, 0.513], loss: 2.466120, mean_absolute_error: 45.331490, mean_q: 91.437134
 15200/50000: episode: 102, duration: 1.663s, episode steps: 296, steps per second: 178, episode reward: 296.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.486 [0.000, 1.000], mean observation: -0.241 [-2.403, 0.787], loss: 2.758909, mean_absolute_error: 45.527988, mean_q: 91.854027
 15456/50000: episode: 103, duration: 1.439s, episode steps: 256, steps per second: 178, episode reward: 256.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.527 [0.000, 1.000], mean observation: 0.275 [-1.294, 2.612], loss: 2.267475, mean_absolute_error: 45.816299, mean_q: 92.520561
 15672/50000: episode: 104, duration: 1.215s, episode steps: 216, steps per second: 178, episode reward: 216.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.528 [0.000, 1.000], mean observation: 0.329 [-0.805, 2.420], loss: 3.147322, mean_absolute_error: 46.215385, mean_q: 93.152580
 16090/50000: episode: 105, duration: 2.363s, episode steps: 418, steps per second: 177, episode reward: 418.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.486 [0.000, 1.000], mean observation: -0.168 [-2.408, 0.758], loss: 2.949382, mean_absolute_error: 46.238323, mean_q: 93.266045
 16365/50000: episode: 106, duration: 1.555s, episode steps: 275, steps per second: 177, episode reward: 275.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.480 [0.000, 1.000], mean observation: -0.262 [-2.434, 0.666], loss: 2.878222, mean_absolute_error: 46.519741, mean_q: 93.861053
 16640/50000: episode: 107, duration: 1.577s, episode steps: 275, steps per second: 174, episode reward: 275.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.520 [0.000, 1.000], mean observation: 0.262 [-0.901, 2.437], loss: 3.535540, mean_absolute_error: 46.854961, mean_q: 94.546936
 16887/50000: episode: 108, duration: 1.384s, episode steps: 247, steps per second: 178, episode reward: 247.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.522 [0.000, 1.000], mean observation: 0.293 [-0.870, 2.437], loss: 2.413096, mean_absolute_error: 46.806126, mean_q: 94.420929
 17148/50000: episode: 109, duration: 1.476s, episode steps: 261, steps per second: 177, episode reward: 261.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.517 [0.000, 1.000], mean observation: 0.286 [-1.049, 2.408], loss: 3.130587, mean_absolute_error: 46.827854, mean_q: 94.459785
 17449/50000: episode: 110, duration: 1.708s, episode steps: 301, steps per second: 176, episode reward: 301.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.515 [0.000, 1.000], mean observation: 0.237 [-0.775, 2.425], loss: 2.527836, mean_absolute_error: 47.440929, mean_q: 95.711594
 17708/50000: episode: 111, duration: 1.476s, episode steps: 259, steps per second: 176, episode reward: 259.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.479 [0.000, 1.000], mean observation: -0.272 [-2.401, 0.555], loss: 3.152692, mean_absolute_error: 47.336575, mean_q: 95.365059
 18138/50000: episode: 112, duration: 2.452s, episode steps: 430, steps per second: 175, episode reward: 430.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.488 [0.000, 1.000], mean observation: -0.173 [-2.439, 0.861], loss: 2.839331, mean_absolute_error: 47.575485, mean_q: 95.986412
 18346/50000: episode: 113, duration: 1.214s, episode steps: 208, steps per second: 171, episode reward: 208.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.519 [0.000, 1.000], mean observation: 0.349 [-0.685, 2.428], loss: 2.459828, mean_absolute_error: 48.071918, mean_q: 97.055748
 18608/50000: episode: 114, duration: 1.506s, episode steps: 262, steps per second: 174, episode reward: 262.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.519 [0.000, 1.000], mean observation: 0.277 [-0.859, 2.404], loss: 3.192906, mean_absolute_error: 47.603374, mean_q: 96.024887
 18894/50000: episode: 115, duration: 1.617s, episode steps: 286, steps per second: 177, episode reward: 286.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.517 [0.000, 1.000], mean observation: 0.256 [-0.883, 2.421], loss: 2.050190, mean_absolute_error: 47.906723, mean_q: 96.725563
 19118/50000: episode: 116, duration: 1.273s, episode steps: 224, steps per second: 176, episode reward: 224.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.518 [0.000, 1.000], mean observation: 0.324 [-0.788, 2.404], loss: 2.988705, mean_absolute_error: 47.596966, mean_q: 96.004105
 19407/50000: episode: 117, duration: 1.635s, episode steps: 289, steps per second: 177, episode reward: 289.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.481 [0.000, 1.000], mean observation: -0.252 [-2.418, 0.776], loss: 2.585763, mean_absolute_error: 48.257706, mean_q: 97.302727
 19722/50000: episode: 118, duration: 1.787s, episode steps: 315, steps per second: 176, episode reward: 315.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.486 [0.000, 1.000], mean observation: -0.225 [-2.345, 0.819], loss: 2.640891, mean_absolute_error: 48.657112, mean_q: 98.053185
 19953/50000: episode: 119, duration: 1.322s, episode steps: 231, steps per second: 175, episode reward: 231.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.476 [0.000, 1.000], mean observation: -0.298 [-2.311, 0.796], loss: 2.070857, mean_absolute_error: 48.677986, mean_q: 98.163910
 20235/50000: episode: 120, duration: 1.626s, episode steps: 282, steps per second: 173, episode reward: 282.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.482 [0.000, 1.000], mean observation: -0.260 [-2.427, 0.679], loss: 2.623894, mean_absolute_error: 48.881668, mean_q: 98.584869
 20521/50000: episode: 121, duration: 1.619s, episode steps: 286, steps per second: 177, episode reward: 286.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.486 [0.000, 1.000], mean observation: -0.247 [-2.296, 0.607], loss: 3.342406, mean_absolute_error: 48.620525, mean_q: 97.922028
 20725/50000: episode: 122, duration: 1.170s, episode steps: 204, steps per second: 174, episode reward: 204.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.520 [0.000, 1.000], mean observation: 0.355 [-0.732, 2.429], loss: 2.688132, mean_absolute_error: 48.945251, mean_q: 98.633400
 20949/50000: episode: 123, duration: 1.267s, episode steps: 224, steps per second: 177, episode reward: 224.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.478 [0.000, 1.000], mean observation: -0.318 [-2.376, 1.046], loss: 3.009390, mean_absolute_error: 48.901875, mean_q: 98.671753
 21194/50000: episode: 124, duration: 1.400s, episode steps: 245, steps per second: 175, episode reward: 245.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.518 [0.000, 1.000], mean observation: 0.303 [-0.795, 2.415], loss: 3.226999, mean_absolute_error: 48.781155, mean_q: 98.339554
 21440/50000: episode: 125, duration: 1.414s, episode steps: 246, steps per second: 174, episode reward: 246.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.516 [0.000, 1.000], mean observation: 0.302 [-0.725, 2.407], loss: 3.461905, mean_absolute_error: 49.501652, mean_q: 99.684738
 21663/50000: episode: 126, duration: 1.276s, episode steps: 223, steps per second: 175, episode reward: 223.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.475 [0.000, 1.000], mean observation: -0.296 [-2.208, 0.596], loss: 2.905991, mean_absolute_error: 49.150742, mean_q: 99.023666
 22009/50000: episode: 127, duration: 1.962s, episode steps: 346, steps per second: 176, episode reward: 346.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.506 [0.000, 1.000], mean observation: 0.217 [-0.804, 2.416], loss: 2.836584, mean_absolute_error: 48.978447, mean_q: 98.712395
 22245/50000: episode: 128, duration: 1.371s, episode steps: 236, steps per second: 172, episode reward: 236.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.517 [0.000, 1.000], mean observation: 0.313 [-0.808, 2.417], loss: 3.027142, mean_absolute_error: 49.238438, mean_q: 99.301605
 22478/50000: episode: 129, duration: 1.317s, episode steps: 233, steps per second: 177, episode reward: 233.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.515 [0.000, 1.000], mean observation: 0.320 [-0.954, 2.419], loss: 2.537298, mean_absolute_error: 49.201485, mean_q: 99.123573
 22686/50000: episode: 130, duration: 1.210s, episode steps: 208, steps per second: 172, episode reward: 208.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.524 [0.000, 1.000], mean observation: 0.356 [-0.960, 2.431], loss: 2.414416, mean_absolute_error: 49.487167, mean_q: 99.749100
 23045/50000: episode: 131, duration: 2.037s, episode steps: 359, steps per second: 176, episode reward: 359.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.485 [0.000, 1.000], mean observation: -0.199 [-2.304, 0.913], loss: 3.268449, mean_absolute_error: 49.263088, mean_q: 99.211113
 23265/50000: episode: 132, duration: 1.250s, episode steps: 220, steps per second: 176, episode reward: 220.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.518 [0.000, 1.000], mean observation: 0.340 [-0.955, 2.405], loss: 2.685675, mean_absolute_error: 49.486393, mean_q: 99.710793
 23495/50000: episode: 133, duration: 1.309s, episode steps: 230, steps per second: 176, episode reward: 230.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.509 [0.000, 1.000], mean observation: 0.322 [-0.712, 2.403], loss: 3.042479, mean_absolute_error: 49.186329, mean_q: 99.013687
 23850/50000: episode: 134, duration: 2.047s, episode steps: 355, steps per second: 173, episode reward: 355.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.510 [0.000, 1.000], mean observation: 0.209 [-0.894, 2.414], loss: 2.996777, mean_absolute_error: 49.724457, mean_q: 100.231888
 24255/50000: episode: 135, duration: 2.348s, episode steps: 405, steps per second: 172, episode reward: 405.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.511 [0.000, 1.000], mean observation: 0.188 [-0.766, 2.392], loss: 3.611172, mean_absolute_error: 49.621410, mean_q: 100.023483
 24529/50000: episode: 136, duration: 1.553s, episode steps: 274, steps per second: 176, episode reward: 274.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.515 [0.000, 1.000], mean observation: 0.274 [-1.063, 2.392], loss: 2.285308, mean_absolute_error: 49.587143, mean_q: 100.081963
 24834/50000: episode: 137, duration: 1.731s, episode steps: 305, steps per second: 176, episode reward: 305.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.511 [0.000, 1.000], mean observation: 0.251 [-0.816, 2.415], loss: 3.641432, mean_absolute_error: 49.698032, mean_q: 100.142105
 25155/50000: episode: 138, duration: 1.831s, episode steps: 321, steps per second: 175, episode reward: 321.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.511 [0.000, 1.000], mean observation: 0.228 [-0.799, 2.415], loss: 3.212594, mean_absolute_error: 50.048172, mean_q: 100.801193
 25418/50000: episode: 139, duration: 1.537s, episode steps: 263, steps per second: 171, episode reward: 263.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.513 [0.000, 1.000], mean observation: 0.285 [-0.852, 2.386], loss: 3.056973, mean_absolute_error: 49.837101, mean_q: 100.400696
 25642/50000: episode: 140, duration: 1.300s, episode steps: 224, steps per second: 172, episode reward: 224.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.478 [0.000, 1.000], mean observation: -0.295 [-2.178, 0.945], loss: 2.826450, mean_absolute_error: 49.665504, mean_q: 100.115807
 25900/50000: episode: 141, duration: 1.537s, episode steps: 258, steps per second: 168, episode reward: 258.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.512 [0.000, 1.000], mean observation: 0.280 [-0.839, 2.402], loss: 3.276107, mean_absolute_error: 50.201393, mean_q: 101.054543
 26119/50000: episode: 142, duration: 1.288s, episode steps: 219, steps per second: 170, episode reward: 219.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.475 [0.000, 1.000], mean observation: -0.325 [-2.403, 0.933], loss: 4.042814, mean_absolute_error: 50.377323, mean_q: 101.471642
 26326/50000: episode: 143, duration: 1.209s, episode steps: 207, steps per second: 171, episode reward: 207.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.517 [0.000, 1.000], mean observation: 0.357 [-0.882, 2.427], loss: 2.059538, mean_absolute_error: 50.118057, mean_q: 101.021721
 26625/50000: episode: 144, duration: 1.747s, episode steps: 299, steps per second: 171, episode reward: 299.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.512 [0.000, 1.000], mean observation: 0.241 [-1.035, 2.286], loss: 3.007793, mean_absolute_error: 49.628384, mean_q: 100.072968
 26870/50000: episode: 145, duration: 1.430s, episode steps: 245, steps per second: 171, episode reward: 245.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.510 [0.000, 1.000], mean observation: 0.309 [-0.907, 2.415], loss: 2.332101, mean_absolute_error: 50.193329, mean_q: 101.130974
 27087/50000: episode: 146, duration: 1.261s, episode steps: 217, steps per second: 172, episode reward: 217.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.475 [0.000, 1.000], mean observation: -0.333 [-2.409, 1.035], loss: 3.077052, mean_absolute_error: 49.330662, mean_q: 99.435165
 27326/50000: episode: 147, duration: 1.414s, episode steps: 239, steps per second: 169, episode reward: 239.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.473 [0.000, 1.000], mean observation: -0.301 [-2.435, 0.835], loss: 2.730754, mean_absolute_error: 49.997211, mean_q: 100.771782
 27545/50000: episode: 148, duration: 1.277s, episode steps: 219, steps per second: 171, episode reward: 219.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.516 [0.000, 1.000], mean observation: 0.319 [-1.117, 2.239], loss: 2.646991, mean_absolute_error: 50.181007, mean_q: 101.089790
 27838/50000: episode: 149, duration: 1.675s, episode steps: 293, steps per second: 175, episode reward: 293.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.512 [0.000, 1.000], mean observation: 0.258 [-0.884, 2.417], loss: 3.136711, mean_absolute_error: 49.799049, mean_q: 100.266106
 28076/50000: episode: 150, duration: 1.386s, episode steps: 238, steps per second: 172, episode reward: 238.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.479 [0.000, 1.000], mean observation: -0.293 [-2.255, 1.100], loss: 2.870753, mean_absolute_error: 49.597641, mean_q: 100.035683
 28340/50000: episode: 151, duration: 1.514s, episode steps: 264, steps per second: 174, episode reward: 264.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.515 [0.000, 1.000], mean observation: 0.286 [-0.886, 2.410], loss: 3.529980, mean_absolute_error: 49.936428, mean_q: 100.606300
 28603/50000: episode: 152, duration: 1.505s, episode steps: 263, steps per second: 175, episode reward: 263.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.479 [0.000, 1.000], mean observation: -0.282 [-2.406, 0.871], loss: 3.067802, mean_absolute_error: 50.029850, mean_q: 100.759598
 28864/50000: episode: 153, duration: 1.500s, episode steps: 261, steps per second: 174, episode reward: 261.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.513 [0.000, 1.000], mean observation: 0.285 [-0.983, 2.408], loss: 2.664972, mean_absolute_error: 49.480747, mean_q: 99.719856
 29110/50000: episode: 154, duration: 1.422s, episode steps: 246, steps per second: 173, episode reward: 246.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.512 [0.000, 1.000], mean observation: 0.302 [-1.095, 2.347], loss: 2.344900, mean_absolute_error: 49.867393, mean_q: 100.548828
 29355/50000: episode: 155, duration: 1.430s, episode steps: 245, steps per second: 171, episode reward: 245.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.514 [0.000, 1.000], mean observation: 0.295 [-0.781, 2.300], loss: 2.700966, mean_absolute_error: 49.774731, mean_q: 100.267349
 29740/50000: episode: 156, duration: 2.189s, episode steps: 385, steps per second: 176, episode reward: 385.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.483 [0.000, 1.000], mean observation: -0.197 [-2.415, 0.852], loss: 2.691336, mean_absolute_error: 49.405266, mean_q: 99.470596
 29998/50000: episode: 157, duration: 1.488s, episode steps: 258, steps per second: 173, episode reward: 258.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.516 [0.000, 1.000], mean observation: 0.285 [-0.758, 2.322], loss: 3.167597, mean_absolute_error: 49.512257, mean_q: 99.667969
 30290/50000: episode: 158, duration: 1.673s, episode steps: 292, steps per second: 175, episode reward: 292.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.479 [0.000, 1.000], mean observation: -0.253 [-2.426, 0.910], loss: 3.005404, mean_absolute_error: 49.564632, mean_q: 99.718025
 30564/50000: episode: 159, duration: 1.567s, episode steps: 274, steps per second: 175, episode reward: 274.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.511 [0.000, 1.000], mean observation: 0.270 [-0.845, 2.295], loss: 3.273933, mean_absolute_error: 49.629803, mean_q: 99.927338
 31007/50000: episode: 160, duration: 2.533s, episode steps: 443, steps per second: 175, episode reward: 443.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.506 [0.000, 1.000], mean observation: 0.167 [-0.900, 2.283], loss: 3.022830, mean_absolute_error: 49.428417, mean_q: 99.548500
 31237/50000: episode: 161, duration: 1.351s, episode steps: 230, steps per second: 170, episode reward: 230.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.513 [0.000, 1.000], mean observation: 0.329 [-1.007, 2.405], loss: 2.092982, mean_absolute_error: 49.316906, mean_q: 99.428719
 31453/50000: episode: 162, duration: 1.237s, episode steps: 216, steps per second: 175, episode reward: 216.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.509 [0.000, 1.000], mean observation: 0.317 [-0.817, 2.157], loss: 2.346784, mean_absolute_error: 49.113174, mean_q: 99.019173
 31736/50000: episode: 163, duration: 1.627s, episode steps: 283, steps per second: 174, episode reward: 283.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.512 [0.000, 1.000], mean observation: 0.267 [-0.927, 2.337], loss: 2.673792, mean_absolute_error: 49.336643, mean_q: 99.438782
 31967/50000: episode: 164, duration: 1.329s, episode steps: 231, steps per second: 174, episode reward: 231.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.511 [0.000, 1.000], mean observation: 0.328 [-0.766, 2.348], loss: 2.875353, mean_absolute_error: 49.352982, mean_q: 99.412010
 32302/50000: episode: 165, duration: 1.930s, episode steps: 335, steps per second: 174, episode reward: 335.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.484 [0.000, 1.000], mean observation: -0.220 [-2.264, 0.797], loss: 2.520817, mean_absolute_error: 49.363102, mean_q: 99.480255
 32555/50000: episode: 166, duration: 1.480s, episode steps: 253, steps per second: 171, episode reward: 253.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.510 [0.000, 1.000], mean observation: 0.297 [-0.891, 2.342], loss: 2.927912, mean_absolute_error: 49.123676, mean_q: 98.938652
 32847/50000: episode: 167, duration: 1.687s, episode steps: 292, steps per second: 173, episode reward: 292.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.524 [0.000, 1.000], mean observation: 0.246 [-1.437, 2.622], loss: 2.244925, mean_absolute_error: 49.138664, mean_q: 99.042091
 33139/50000: episode: 168, duration: 1.710s, episode steps: 292, steps per second: 171, episode reward: 292.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.507 [0.000, 1.000], mean observation: 0.263 [-1.074, 2.415], loss: 2.394269, mean_absolute_error: 49.353291, mean_q: 99.347061
 33421/50000: episode: 169, duration: 1.624s, episode steps: 282, steps per second: 174, episode reward: 282.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.482 [0.000, 1.000], mean observation: -0.270 [-2.432, 0.782], loss: 2.657443, mean_absolute_error: 49.023201, mean_q: 98.702515
 33685/50000: episode: 170, duration: 1.523s, episode steps: 264, steps per second: 173, episode reward: 264.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.508 [0.000, 1.000], mean observation: 0.281 [-0.828, 2.315], loss: 2.343424, mean_absolute_error: 48.883121, mean_q: 98.362427
 33975/50000: episode: 171, duration: 1.679s, episode steps: 290, steps per second: 173, episode reward: 290.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.514 [0.000, 1.000], mean observation: 0.247 [-0.827, 2.254], loss: 3.086406, mean_absolute_error: 49.213902, mean_q: 99.032768
 34204/50000: episode: 172, duration: 1.326s, episode steps: 229, steps per second: 173, episode reward: 229.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.524 [0.000, 1.000], mean observation: 0.327 [-1.121, 2.449], loss: 2.812930, mean_absolute_error: 49.172302, mean_q: 99.005203
 34547/50000: episode: 173, duration: 2.004s, episode steps: 343, steps per second: 171, episode reward: 343.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.513 [0.000, 1.000], mean observation: 0.217 [-0.921, 2.418], loss: 2.038178, mean_absolute_error: 48.336708, mean_q: 97.351242
 34841/50000: episode: 174, duration: 1.706s, episode steps: 294, steps per second: 172, episode reward: 294.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.510 [0.000, 1.000], mean observation: 0.256 [-0.959, 2.376], loss: 2.217366, mean_absolute_error: 48.904152, mean_q: 98.481422
 35108/50000: episode: 175, duration: 1.539s, episode steps: 267, steps per second: 174, episode reward: 267.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.509 [0.000, 1.000], mean observation: 0.267 [-1.021, 2.409], loss: 2.425623, mean_absolute_error: 48.630405, mean_q: 97.981308
 35365/50000: episode: 176, duration: 1.479s, episode steps: 257, steps per second: 174, episode reward: 257.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.479 [0.000, 1.000], mean observation: -0.288 [-2.409, 0.965], loss: 2.435965, mean_absolute_error: 48.915382, mean_q: 98.398407
 35625/50000: episode: 177, duration: 1.487s, episode steps: 260, steps per second: 175, episode reward: 260.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.508 [0.000, 1.000], mean observation: 0.289 [-1.045, 2.401], loss: 1.980496, mean_absolute_error: 48.538536, mean_q: 97.756035
 35885/50000: episode: 178, duration: 1.503s, episode steps: 260, steps per second: 173, episode reward: 260.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.508 [0.000, 1.000], mean observation: 0.287 [-1.105, 2.389], loss: 1.650505, mean_absolute_error: 48.552151, mean_q: 97.740265
 36126/50000: episode: 179, duration: 1.404s, episode steps: 241, steps per second: 172, episode reward: 241.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.510 [0.000, 1.000], mean observation: 0.294 [-1.382, 2.423], loss: 1.906489, mean_absolute_error: 48.642269, mean_q: 97.942581
 36455/50000: episode: 180, duration: 1.876s, episode steps: 329, steps per second: 175, episode reward: 329.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.508 [0.000, 1.000], mean observation: 0.224 [-1.185, 2.418], loss: 2.098560, mean_absolute_error: 48.222332, mean_q: 97.028587
 36790/50000: episode: 181, duration: 1.957s, episode steps: 335, steps per second: 171, episode reward: 335.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.507 [0.000, 1.000], mean observation: 0.208 [-1.121, 2.216], loss: 1.815305, mean_absolute_error: 48.436714, mean_q: 97.436638
 37235/50000: episode: 182, duration: 2.554s, episode steps: 445, steps per second: 174, episode reward: 445.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.485 [0.000, 1.000], mean observation: -0.173 [-2.418, 0.907], loss: 3.154366, mean_absolute_error: 48.445190, mean_q: 97.359901
 37624/50000: episode: 183, duration: 2.245s, episode steps: 389, steps per second: 173, episode reward: 389.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.509 [0.000, 1.000], mean observation: 0.194 [-0.870, 2.419], loss: 1.987747, mean_absolute_error: 48.312359, mean_q: 97.249298
 37963/50000: episode: 184, duration: 1.956s, episode steps: 339, steps per second: 173, episode reward: 339.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.484 [0.000, 1.000], mean observation: -0.221 [-2.429, 1.012], loss: 1.781579, mean_absolute_error: 48.052925, mean_q: 96.726501
 38205/50000: episode: 185, duration: 1.395s, episode steps: 242, steps per second: 174, episode reward: 242.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.508 [0.000, 1.000], mean observation: 0.303 [-1.097, 2.318], loss: 1.980987, mean_absolute_error: 48.134354, mean_q: 96.891350
 38492/50000: episode: 186, duration: 1.684s, episode steps: 287, steps per second: 170, episode reward: 287.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.509 [0.000, 1.000], mean observation: 0.255 [-0.882, 2.284], loss: 2.162835, mean_absolute_error: 47.518360, mean_q: 95.616188
 38806/50000: episode: 187, duration: 1.814s, episode steps: 314, steps per second: 173, episode reward: 314.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.481 [0.000, 1.000], mean observation: -0.233 [-2.416, 0.839], loss: 1.868937, mean_absolute_error: 47.884041, mean_q: 96.391342
 39069/50000: episode: 188, duration: 1.535s, episode steps: 263, steps per second: 171, episode reward: 263.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.510 [0.000, 1.000], mean observation: 0.268 [-1.443, 2.204], loss: 2.046490, mean_absolute_error: 47.883259, mean_q: 96.398880
 39316/50000: episode: 189, duration: 1.441s, episode steps: 247, steps per second: 171, episode reward: 247.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.510 [0.000, 1.000], mean observation: 0.296 [-1.349, 2.341], loss: 1.944203, mean_absolute_error: 48.059921, mean_q: 96.656136
 39604/50000: episode: 190, duration: 1.694s, episode steps: 288, steps per second: 170, episode reward: 288.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.479 [0.000, 1.000], mean observation: -0.254 [-2.433, 0.753], loss: 2.155506, mean_absolute_error: 48.026165, mean_q: 96.559128
 39929/50000: episode: 191, duration: 1.971s, episode steps: 325, steps per second: 165, episode reward: 325.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.514 [0.000, 1.000], mean observation: 0.216 [-1.736, 2.807], loss: 1.333537, mean_absolute_error: 47.617878, mean_q: 95.811646
 40349/50000: episode: 192, duration: 2.516s, episode steps: 420, steps per second: 167, episode reward: 420.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.517 [0.000, 1.000], mean observation: 0.176 [-1.568, 2.808], loss: 1.540098, mean_absolute_error: 48.107544, mean_q: 96.727821
 40685/50000: episode: 193, duration: 1.999s, episode steps: 336, steps per second: 168, episode reward: 336.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.482 [0.000, 1.000], mean observation: -0.216 [-2.421, 0.841], loss: 1.592259, mean_absolute_error: 47.517776, mean_q: 95.517982
